"Ukazatel","IndicatorType","Druh zeleniny","DRUHZEMPLOD4","Roky","CasR","Území","Uz02","Hodnota"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2009","2009","Česko","CZ","177227.41"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2010","2010","Česko","CZ","148753.46"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2011","2011","Česko","CZ","207402.47"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2012","2012","Česko","CZ","169442.49"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2013","2013","Česko","CZ","176950.44"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Česko","CZ","221575.15"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Hlavní město Praha","CZ010","20.9"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Středočeský kraj","CZ020","70717.57"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Jihočeský kraj","CZ031","3188.45"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Plzeňský kraj","CZ032","1882.91"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Karlovarský kraj","CZ041","23.6"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Ústecký kraj","CZ042","38027.15"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Liberecký kraj","CZ051","241.3"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Královéhradecký kraj","CZ052","30452.45"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Pardubický kraj","CZ053","2647.51"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Kraj Vysočina","CZ063","664.1"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Jihomoravský kraj","CZ064","46496.5"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Olomoucký kraj","CZ071","8599.96"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Zlínský kraj","CZ072","4669.65"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2014","2014","Moravskoslezský kraj","CZ080","13943.1"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Česko","CZ","183603.42"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Hlavní město Praha","CZ010","24.68"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Středočeský kraj","CZ020","63860.85"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Jihočeský kraj","CZ031","3487.31"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Plzeňský kraj","CZ032","1013.16"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Karlovarský kraj","CZ041","11.37"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Ústecký kraj","CZ042","33589.65"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Liberecký kraj","CZ051","247.31"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Královéhradecký kraj","CZ052","24204.31"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Pardubický kraj","CZ053","2130.59"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Kraj Vysočina","CZ063","295.3"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Jihomoravský kraj","CZ064","39369.6"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Olomoucký kraj","CZ071","6679.05"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Zlínský kraj","CZ072","2593.26"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2015","2015","Moravskoslezský kraj","CZ080","6096.98"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Česko","CZ","227906.9"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Hlavní město Praha","CZ010","20.37"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Středočeský kraj","CZ020","83524.98"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Jihočeský kraj","CZ031","2773.95"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Plzeňský kraj","CZ032","1445.16"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Karlovarský kraj","CZ041","9.78"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Ústecký kraj","CZ042","33270.78"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Liberecký kraj","CZ051","247.11"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Královéhradecký kraj","CZ052","25652.15"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Pardubický kraj","CZ053","2052.07"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Kraj Vysočina","CZ063","373.12"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Jihomoravský kraj","CZ064","57337.07"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Olomoucký kraj","CZ071","5993.33"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Zlínský kraj","CZ072","4307.3"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2016","2016","Moravskoslezský kraj","CZ080","10899.73"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Česko","CZ","241692.08"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Hlavní město Praha","CZ010","23.05"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Středočeský kraj","CZ020","99875.78"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Jihočeský kraj","CZ031","2204.18"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Plzeňský kraj","CZ032","2249.94"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Karlovarský kraj","CZ041","75.14"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Ústecký kraj","CZ042","33287.43"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Liberecký kraj","CZ051","373.06"
"Sklizeň zemědělských plodin (t)","5906","Zelenina konzumní","612","2017","2017","Královéhradecký kraj","CZ052","27042.72"
